group,skill
Languages,Java
Languages,JavaScript
Languages,TypeScript
Languages,Python
Languages,R
Languages,Groovy
Microservices / Backend,Spring Boot
Microservices / Backend,Spring
Microservices / Backend,Spring Data
Microservices / Backend,Spring Integration
Microservices / Backend,Spring Security
Microservices / Backend,OAuth2
Microservices / Backend,Microservices
Microservices / Backend,Feign
Microservices / Backend,Sleuth
Microservices / Backend,Zipkin
Microservices / Backend,Python Eve
Microservices / Backend,Python Flask
Microservices / Backend,Java EE
Microservices / Backend,EJB
Frontend,Vue.js
Frontend,React
Frontend,AngularJS
Frontend,GWT
Frontend,Quasar
Frontend,HTML
Frontend,CSS
Frontend,Bootstrap
Persistence / Databases,MySQL
Persistence / Databases,MongoDB
Persistence / Databases,PostgreSQL
Persistence / Databases,Oracle
Persistence / Databases,Neo4j
Persistence / Databases,JPA
Persistence / Databases,Hibernate
DevOps / Cloud,Docker
DevOps / Cloud,Kubernetes
DevOps / Cloud,Rancher
DevOps / Cloud,GitLab CI
DevOps / Cloud,Jenkins
DevOps / Cloud,Maven
DevOps / Cloud,Grunt
DevOps / Cloud,npm
DevOps / Cloud,Artifactory
DevOps / Cloud,"AWS (EC2, S3, SageMaker, VPC)"
DevOps / Cloud,Microsoft Azure
DevOps / Cloud,DigitalOcean
Security / IAM,Keycloak
Security / IAM,Spring Security
Security / IAM,OAuth2
Testing,JUnit
Testing,TDD
Testing,Mockito
Testing,Selenium
Testing,DBUnit
Testing,Playwright
API / Integration,REST
API / Integration,Swagger
API / Integration,OpenAPI
API / Integration,SOAP
API / Integration,Webservices
API / Integration,CXF
API / Integration,XFire
API / Integration,Kafka
API / Integration,ServiceMix
Machine Learning,scikit-learn
Machine Learning,Keras
Machine Learning,DeepLearning4J
Machine Learning,CNN
Machine Learning,Transfer Learning
Machine Learning,Supervised/Unsupervised
Machine Learning,k-means
Machine Learning,PCA
Machine Learning,t-SNE
Machine Learning,Reinforcement Learning
Machine Learning,OpenAI Gym
Machine Learning,Topic Modeling
Data Science,pandas
Data Science,numpy
Data Science,dplyr
Data Science,Jupyter
Data Science,RMarkdown
Data Science,ggplot
Data Science,seaborn
Data Science,Vega-Lite
Data Science,A/B Testing
Data Science,Webscraping
Tooling / Other,Git
Tooling / Other,GitLab
Tooling / Other,Subversion
Tooling / Other,Jira
Tooling / Other,Confluence
Tooling / Other,Kibana
Tooling / Other,ANTLR
Tooling / Other,JavaCC
Tooling / Other,ZXing (QR)
Tooling / Other,PayPal API
Tooling / Other,RDF/XML/JSON
Tooling / Other,SAP (BAPI)
Tooling / Other,Phonegap
Tooling / Other,JBoss
Tooling / Other,Tomcat
